"MATERIAL","INSTALLED","NOM_DIA_MM","LENGTH","condition_overall_score_label","condition_CCTV_score","condition_CCTV_date","condition_CCTV_source","condition_CCTV_app_availability","condition_instability_score","condition_corrosivity_score","condition_age_score","SHAPE_Length"
"CONC",1964,1050,125.75,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,1,2,125.745809955548
"CONC",1964,1050,151.35,"2","2","2015","CCTV Footage Review Log South_Latest.xls","no",1,1,2,151.3488851167
"PE",2012,1000,2522.45,"2","None","None","None","no",3,3,1,2522.44541956044
"CONC",1998,525,38.08,"1","None","None","None","no",1,3,1,38.0776007144323
"CONC",1965,1050,220.34,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,220.340534683822
"CONC",1965,1050,196.87,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,1,2,196.865091317844
"CONC",1965,1054,91.37,"2","None","None","None","no",5,1,2,91.3746669525063
"CONC",1965,1050,238.96,"3","3","2005","te puna wai","no",1,3,2,238.963513335132
"CONC",1964,2100,739.53,"3","3","2010","te puna wai","no",1,1,2,739.526764958036
"CONC",2012,1050,199.34,"1","None","None","None","no",1,3,1,199.33530675298
"CONC",1965,450,21.42,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",5,1,2,21.4176994127816
"CONC",2007,1050,84.28,"2","2","2008","te puna wai","no",5,1,1,84.2799365923712
"CONC",1959,900,1.88,"2","None","None","None","no",1,1,3,1.8797146217669
"CONC",1998,825,114.85,"1","1","1999","te puna wai","no",1,3,1,114.849096220833
"CONC",1964,2100,59.99,"3","3","2010","te puna wai","no",1,1,2,59.9891486714414
"BRICK",1911,1050,164.03,"3","3","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,164.026408725992
"CONC",1964,2100,264.27,"3","3","2009","te puna wai","no",1,1,2,264.274799390671
"CONC",1965,825,1152.25,"2","2","2019","CCTV Footage Review Log South_Latest.xls","no",1,3,2,1152.2517796801
"CONC",1998,825,114.35,"1","1","1999","te puna wai","no",1,3,1,114.351826835042
"CONC",1976,900,129.34,"2","2","2016","te puna wai","no",3,3,2,129.335547638106
"BRICK",1911,1050,276.11,"3","3","2013","CCTV Footage Review Log South_Latest.xls","no",1,1,4,276.1063509265
"CONC",1910,1050,342.29,"1","1","2017","te puna wai","yes",1,1,1,342.286310316216
"CONC",1964,2100,205.17,"2","2","2010","te puna wai","no",5,3,2,205.166501187508
"CONC",1959,900,45.47,"3","3","2016","te puna wai","no",3,3,3,45.4692005940312
"CONC",1962,900,30.39,"2","2","2021","CCTV Footage Review Log South_Latest.xls","yes",1,1,3,30.3861432232618
"CONC",1962,900,92.5,"3","2","2008","te puna wai","yes",3,3,3,92.4955006850379
"CONC",1962,900,140.17,"3","2","2021","CCTV Footage Review Log South_Latest.xls","yes",3,3,3,140.173982363277
"CONC",1961,825,445.99,"2","2","2016","CCTV Footage Review Log South_Latest.xls","no",1,3,3,445.98587125444
"CONC",1910,1050,78.55,"1","1","2017","te puna wai","no",3,1,1,78.5537670265538
"PE",2010,900,422.71,"1","None","None","None","no",1,1,1,422.712276067623
"CONC",1910,1050,130.73,"1","1","2017","te puna wai","yes",1,1,1,130.734919230206
"CONC",2016,1050,83.18,"1","None","None","None","no",1,1,1,83.183483051209
